text,label,
This delay is unacceptable. Eight days to fix a login issue? Ridiculous!,Highly Dissatisfied,
I've been waiting for 5 days! Why can't you provide an update on my delivery?,Highly Dissatisfied,
"The delay in shipping was frustrating, but the package eventually arrived.",Slightly Dissatisfied,
I'm following up on service activation delay. When can I expect it to be resolved?,Neutral,
The support team made me feel like my issue didn't matter.,Dissatisfied,
Thanks for resolving product malfunction so quickly. Great job!,Satisfied,
"Hi, I have a question about order delivery. Can someone assist?",Neutral,
"It worked, but the return process was lowkey frustrating.",Slightly Dissatisfied,
"I don't want to complain, but service activation delay was not handled professionally at all.",Dissatisfied,
Any update on my refund? It's been a couple of weeks.,Neutral,
Confusing,Slightly Dissatisfied,
"The service hit, but the updates were kinda not it.",Slightly Dissatisfied,
"The worst service, hands down",Dissatisfied,
Can you confirm if there's any progress with my refund request?,Neutral,
"This is outrageous! I've been waiting for 7 days, and still no update on my service activation delay.",Highly Dissatisfied,
I can't believe I'm still getting no clear answer about my service activation after all this time!,Highly Dissatisfied,
I'm impressed with the fast and professional resolution of my refund issue.,Satisfied,
"I don't wish to sound critical, but the way the membership was canceled lacked a professional touch.",Dissatisfied,
There's room for improvement here. long wait times didn't meet my expectations.,Slightly Dissatisfied,
I'm fed up with the vague answers. It's time someone gives me a clear explanation about my service activation!,Highly Dissatisfied,
technical support has left me very dissatisfied.,Dissatisfied,
Waiting this long for a delivery is frustrating and unacceptable.,Dissatisfied,
"No shade, but the membership cancelation process could've been way smoother.",Dissatisfied,
Messed up,Highly Dissatisfied,
What is happening here? How do you mess this up so badly every time?,Highly Dissatisfied,
Disgusting,Dissatisfied,
"This is outrageous! I've been waiting for 9 days, and still no update on my damaged item received.",Highly Dissatisfied,
"account login issue was delayed, but at least the product works well. Can't complain much.",Neutral,
"I've contacted you two times now, but the billing problem persists.",Dissatisfied,
The login problem with my account is inconvenient. Please resolve this without delay.,Dissatisfied,
"The delay in getting my package wasn't ideal, but it arrived.",Slightly Dissatisfied,
The damaged item received wasn't resolved properly. I expected better support.,Dissatisfied,
"It looks great, but it didn't work as expected.",Neutral,
I have to change some damn articles of purchase ,Neutral,
"technical support was handled very well, I'm satisfied.",Satisfied,
"The overall experience was fine, but order delivery left me feeling a bit unsure.",Neutral,
I'm extremely frustrated with how long this delivery took.,Dissatisfied,
i missed several items in purchase ,Neutral,
Not impressed. billing error has caused a lot of trouble for me.,Dissatisfied,
Your team was respectful and quick to solve my issue.thank you!,Satisfied,
The quick resolution of the website bugs made my experience so much better.thank you!,Satisfied,
"Not the best condition, but I suppose the damaged item is still okay.",Slightly Dissatisfied,
I've had to contact you twice now about my product malfunction. Still not fixed.,Dissatisfied,
"This is okay, but billing error could've been smoother. Expected more.",Slightly Dissatisfied,
"Great customer service! The initial response was slow, but they resolved my issue perfectly.",Satisfied,
can you help me switch an item of order ?,Neutral,
how do I add some items to order ?,Neutral,
I'm delighted by how fast the website issues were resolved; it's working like a charm.,Satisfied,
assistance with canceling order ,Neutral,
Delivery had me waiting longer than I'd hoped.,Slightly Dissatisfied,
Could you please let me know if my refund request is in progress?,Neutral,
"It hasn't been the best, but it's been decent considering the long wait times.",Neutral,
I'm pleased with the quick resolution of my refund request.,Satisfied,
"Honestly, the delivery was late, but at least the product works.",Neutral,
problems with deleting some productsfrom order ,Neutral,
Your software is buggy as hell. Stop releasing garbage updates.,Highly Dissatisfied,
The delivery time was unacceptable and frustrating.,Dissatisfied,
I demand my money back immediately,Highly Dissatisfied,
"The return vibes didn't hit right, so I'm not fully pleased.",Slightly Dissatisfied,
This is the worst return process I've encountered. Do something about it!,Highly Dissatisfied,
